source_problem,target_p_initial,target_p_final,target_p_common_initial,delta_p,delta_p_vs_common_initial,source_p_start,source_p_final,source_p_max,source_H_sum_bits,source_var_sum,source_num_steps
12365,0.15625,0.6875,0.17578125,0.53125,0.51171875,0.1875,0.4375,0.75,14.54157371129917,3.521484375,16
8354,0.0625,0.375,0.07109375,0.3125,0.30390625,0.0625,0.5625,0.5625,10.49916233050677,2.3115234375,16
9195,0.09375,0.4375,0.13359375,0.34375,0.30390625,0.1875,0.15625,0.34375,12.258446886064004,2.7841796875,16
8993,0.53125,0.78125,0.53125,0.25,0.25,0.5625,0.71875,0.875,12.404615853586712,2.8466796875,16
9857,0.65625,0.90625,0.66171875,0.25,0.2445312499999999,0.75,0.96875,1.0,4.699543387612984,0.876953125,16
1139,0.46875,0.65625,0.43828125,0.1875,0.21796875,0.375,0.46875,0.6875,15.545373609939784,3.8447265625,16
3689,0.375,0.65625,0.45859375,0.28125,0.1976562499999999,0.4375,0.71875,0.78125,14.488545789713076,3.4951171875,16
13162,0.53125,0.59375,0.43828125,0.0625,0.15546875,0.59375,0.625,0.75,15.06308856757451,3.68359375,16
4444,0.25,0.25,0.11796875,0.0,0.13203125,0.03125,0.25,0.25,9.710136586306184,2.09765625,16
3626,0.15625,0.25,0.1234375,0.09375,0.1265625,0.21875,0.25,0.25,8.479304616924503,1.7578125,16
2119,0.125,0.21875,0.10703125,0.09375,0.11171875,0.09375,0.15625,0.25,8.154537466224182,1.6484375,16
14880,0.5625,0.71875,0.621875,0.15625,0.096875,0.6875,0.65625,0.875,14.2119805863693,3.419921875,16
5809,0.3125,0.46875,0.390625,0.15625,0.078125,0.40625,0.5,0.625,15.167754688681734,3.7197265625,16
549,0.09375,0.15625,0.0796875,0.0625,0.0765625,0.03125,0.125,0.1875,7.579893500309592,1.509765625,16
17768,0.65625,0.78125,0.71796875,0.125,0.0632812499999999,0.6875,0.875,0.90625,11.806361522768327,2.6630859375,16
3075,0.21875,0.3125,0.2703125,0.09375,0.0421874999999999,0.15625,0.4375,0.4375,13.64414991058015,3.23828125,16
3442,0.03125,0.125,0.08984375,0.09375,0.03515625,0.125,0.09375,0.21875,8.35417212223996,1.703125,16
9622,0.03125,0.09375,0.065625,0.0625,0.0281249999999999,0.0625,0.125,0.21875,5.577121849537489,1.0859375,16
7690,0.0625,0.0625,0.04296875,0.0,0.01953125,0.03125,0.03125,0.125,3.1189851754432563,0.5478515625,16
1296,0.03125,0.03125,0.0203125,0.0,0.0109375,0.0,0.0,0.09375,2.7760430565563747,0.46875,16
6067,0.03125,0.0625,0.05546875,0.03125,0.00703125,0.125,0.09375,0.15625,5.651279957664812,1.0458984375,16
1689,0.03125,0.03125,0.03046875,0.0,0.00078125,0.03125,0.03125,0.09375,3.1133331231733883,0.52734375,16
4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
9187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
4250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
5944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.2006223243127146,0.0302734375,16
7665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
863,0.0,0.0,0.00078125,0.0,-0.00078125,0.0,0.0,0.0,0.0,0.0,16
12403,0.0,0.0,0.00078125,0.0,-0.00078125,0.0,0.0,0.0,0.0,0.0,16
12633,0.0,0.0,0.0015625,0.0,-0.0015625,0.0,0.0,0.0,0.0,0.0,16
9940,0.0,0.0,0.0015625,0.0,-0.0015625,0.0,0.0,0.0,0.0,0.0,16
3386,0.0,0.0,0.00234375,0.0,-0.00234375,0.0,0.0,0.03125,0.2006223243127146,0.0302734375,16
15185,0.0,0.0,0.00703125,0.0,-0.00703125,0.0,0.0,0.0,0.0,0.0,16
13784,0.09375,0.0625,0.0703125,-0.03125,-0.0078125,0.0,0.15625,0.15625,6.3453830480074105,1.2041015625,16
15592,0.03125,0.03125,0.03984375,0.0,-0.0085937499999999,0.09375,0.0,0.09375,3.0657132830757874,0.5029296875,16
15543,0.375,0.34375,0.35390625,-0.03125,-0.0101562499999999,0.25,0.375,0.5,14.974434953541548,3.65625,16
7790,0.09375,0.03125,0.0484375,-0.0625,-0.0171875,0.0625,0.0,0.125,3.799217360947152,0.685546875,16
11788,0.0,0.0,0.01953125,0.0,-0.01953125,0.0,0.0625,0.0625,1.8143594971019008,0.296875,16
17729,0.125,0.15625,0.20390625,0.03125,-0.04765625,0.1875,0.28125,0.34375,12.639821374809223,2.9052734375,16
13941,0.125,0.0,0.06328125,-0.125,-0.06328125,0.0625,0.09375,0.15625,5.620637548423516,1.0458984375,16
