target_problem,mean_delta_p_common_all,mean_positive_delta_p_common_all,mean_delta_p_common_offdiag,mean_positive_delta_p_common_offdiag,self_delta_p_common
12365,0.09609375,0.12421875,0.0854366987179487,0.1142828525641025,0.51171875
8993,0.1,0.115625,0.0961538461538461,0.1121794871794871,0.25
9857,0.0890625,0.1120703125,0.0850761217948718,0.1086738782051282,0.2445312499999999
3689,0.046875,0.07013671875,0.0430088141025641,0.0668669871794872,0.1976562499999999
1139,0.0515625,0.0706445312499999,0.0472956730769231,0.0668669871794871,0.21796875
3075,0.03671875,0.0532421875,0.0365785256410256,0.053525641025641,0.0421874999999999
13162,0.025,0.0534765625,0.0216546474358974,0.0508613782051282,0.15546875
14880,0.02109375,0.045859375,0.019150641025641,0.044551282051282,0.096875
17729,0.0109375,0.03587890625,0.0124399038461538,0.0367988782051282,-0.04765625
4444,0.021875,0.03677734375,0.0190504807692307,0.0343349358974359,0.13203125
17768,0.0046874999999999,0.0300976562499999,0.0031850961538461,0.0292467948717948,0.0632812499999999
2119,0.0124999999999999,0.0299609374999999,0.0099559294871794,0.0278645833333333,0.11171875
549,0.0179687499999999,0.0290234374999999,0.0164663461538461,0.0278044871794871,0.0765625
8354,0.015625,0.0312109375,0.008233173076923,0.02421875,0.30390625
15543,-0.03046875,0.02197265625,-0.0309895833333333,0.0225360576923077,-0.0101562499999999
9195,0.0023437499999999,0.0266015625,-0.0053886217948718,0.0194911858974358,0.30390625
13784,-0.00234375,0.0189453125,-0.0022035256410256,0.0194310897435897,-0.0078125
9622,-0.0023437499999999,0.01765625,-0.0031249999999999,0.0173878205128205,0.0281249999999999
11788,0.00546875,0.015234375,0.0061097756410256,0.015625,-0.01953125
7690,0.00078125,0.01552734375,0.0003004807692307,0.0154246794871794,0.01953125
3442,-0.00703125,0.015234375,-0.0081129807692307,0.0147235576923076,0.03515625
7790,0.00078125,0.0139843749999999,0.0012419871794871,0.0143429487179487,-0.0171875
3626,-0.01328125,0.017109375,-0.0168669871794871,0.0143028846153846,0.1265625
13941,-0.01171875,0.0130859375,-0.0103966346153846,0.0134214743589743,-0.06328125
1296,0.003125,0.0132812499999999,0.0029246794871794,0.0133413461538461,0.0109375
6067,-0.0015625,0.0122851562499999,-0.0017828525641025,0.0124198717948717,0.00703125
15592,-0.0031249999999999,0.0097070312499999,-0.0029847756410256,0.0099559294871794,-0.0085937499999999
5809,-0.04765625,0.011328125,-0.0508814102564102,0.0096153846153846,0.078125
1689,-0.0062499999999999,0.00822265625,-0.0064302884615384,0.0084134615384615,0.00078125
15185,-0.0046874999999999,0.00181640625,-0.0046274038461538,0.0018629807692307,-0.00703125
12403,0.0007812499999999,0.0015234375,0.0008213141025641,0.0015624999999999,-0.00078125
9940,-0.00078125,0.0007421875,-0.0007612179487179,0.0007612179487179,-0.0015625
3386,-0.00234375,0.0,-0.00234375,0.0,-0.00234375
863,-0.00078125,0.0,-0.00078125,0.0,-0.00078125
9187,0.0,0.0,0.0,0.0,0.0
5944,0.0,0.0,0.0,0.0,0.0
4250,0.0,0.0,0.0,0.0,0.0
7665,0.0,0.0,0.0,0.0,0.0
4998,0.0,0.0,0.0,0.0,0.0
12633,-0.0015625,0.0,-0.0015625,0.0,-0.0015625
