source_problem,mean_delta_p_common_all,mean_positive_delta_p_common_all,mean_delta_p_common_offdiag,mean_positive_delta_p_common_offdiag,self_delta_p_common
1139,0.04955078125,0.05775390625,0.0452323717948718,0.0536458333333333,0.21796875
13162,0.03861328125,0.05076171875,0.0356169871794871,0.048076923076923,0.15546875
3689,0.03158203125,0.04755859375,0.0273237179487179,0.0437099358974359,0.1976562499999999
9857,0.03939453125,0.0486328125,0.0341346153846153,0.0436097756410256,0.2445312499999999
15543,0.0284570312499999,0.0408593749999999,0.0294471153846153,0.0419070512820512,-0.0101562499999999
13784,0.02845703125,0.0391015625,0.0293870192307692,0.0401041666666666,-0.0078125
14880,0.03001953125,0.0394921875,0.0283052884615384,0.0380208333333333,0.096875
17768,0.0214257812499999,0.0365820312499999,0.020352564102564,0.0358974358974358,0.0632812499999999
8993,0.02689453125,0.0408593749999999,0.0211738782051282,0.0354967948717948,0.25
4444,0.02611328125,0.0373828124999999,0.0233974358974358,0.0349559294871794,0.13203125
2119,0.02376953125,0.0355859375,0.021514423076923,0.0336338141025641,0.11171875
1296,0.02298828125,0.03220703125,0.0232972756410256,0.0327524038461538,0.0109375
12365,0.02376953125,0.04443359375,0.0112580128205128,0.032451923076923,0.51171875
3075,0.0214257812499999,0.03236328125,0.0208934294871794,0.0321113782051282,0.0421874999999999
11788,0.0081445312499999,0.0283007812499999,0.0088541666666666,0.0290264423076923,-0.01953125
549,0.0214257812499999,0.0298046875,0.0200120192307692,0.0286057692307692,0.0765625
8354,0.02611328125,0.03546875,0.0189903846153846,0.0285857371794871,0.30390625
3386,0.0159570312499999,0.02681640625,0.016426282051282,0.0275040064102564,-0.00234375
15592,0.0112695312499999,0.0261328124999999,0.0117788461538461,0.0268028846153846,-0.0085937499999999
9195,0.0237695312499999,0.0313671874999999,0.0165865384615384,0.0243790064102564,0.30390625
12403,0.0026757812499999,0.02373046875,0.002764423076923,0.0243389423076923,-0.00078125
3442,0.0065820312499999,0.02263671875,0.0058493589743589,0.0223157051282051,0.03515625
4250,0.0143945312499999,0.02130859375,0.0147636217948717,0.0218549679487179,0.0
17729,0.0026757812499999,0.0201953124999999,0.0039663461538461,0.020713141025641,-0.04765625
9622,0.0050195312499999,0.0188281249999999,0.0044270833333333,0.0185897435897435,0.0281249999999999
863,-0.00123046875,0.0176953124999999,-0.0012419871794871,0.0181490384615384,-0.00078125
13941,-0.00201171875,0.01662109375,-0.0004407051282051,0.0170472756410256,-0.06328125
9187,0.0034570312499999,0.0162890625,0.003545673076923,0.0167067307692307,0.0
4998,-0.00982421875,0.0149023437499999,-0.0100761217948717,0.0152844551282051,0.0
6067,-0.00123046875,0.01490234375,-0.0014423076923076,0.0151041666666666,0.00703125
3626,0.0026757812499999,0.0174218749999999,-0.0005008012820512,0.0146233974358974,0.1265625
5809,-0.00513671875,0.01533203125,-0.0072716346153846,0.0137219551282051,0.078125
12633,-0.01919921875,0.0131640625,-0.0196514423076923,0.0135016025641025,-0.0015625
9940,-0.01373046875,0.01259765625,-0.0140424679487179,0.012920673076923,-0.0015625
5944,-0.0176367187499999,0.01232421875,-0.0180889423076923,0.0126402243589743,0.0
7665,-0.00513671875,0.0120117187499999,-0.0052684294871794,0.0123197115384615,0.0
15185,-0.00982421875,0.0113671874999999,-0.0098958333333333,0.0116586538461538,-0.00703125
1689,-0.01607421875,0.0104882812499999,-0.0165064102564102,0.0107371794871794,0.00078125
7790,-0.01138671875,0.0095117187499999,-0.0112379807692307,0.0097556089743589,-0.0171875
7690,-0.01685546875,0.0096874999999999,-0.0177884615384615,0.0094350961538461,0.01953125
